serviceName,sousTitre,description,logoUrl,redirectionUrl,redirectionLabel,iframeUrl,extendLabel,status,leviers,competences,extraFields
Expertises-Territoires,ECOLES DE DEMAIN,"Cette communauté s'adresse aux collectivités et à l'ensemble des acteurs de projets scolaires (architectes, programmistes, associations, structures de conseil...), leur offrant une opportunité de partager des solutions innovantes ou de s'inspirer d'autres expériences pour aller plus loin dans leurs propres projets. Cette communauté est la vôtre. 😍 N'hésitez pas à contribuer ! Parce qu'une communauté ne vit que par l'activité de ses membres.",,https://www.expertises-territoires.fr/jcms/pl1_26867,,,,NULL,NULL,"Ecoles maternelles, Enseignement du second degré, Lycées publics, Lycées privés, Enseignement supérieur, Cités scolaires",
Expertises-Territoires,COMMUNAUTÉ PONTS,"Cette communauté s’adresse à tous les acteurs de la gestion de patrimoines d’ouvrages d’art : maîtres d’ouvrages gestionnaires, collectivités ou Etat, bureaux d’études, entreprises, associations professionnelles, que vous soyez experts, confirmés ou a contrario en voie d’apprentissage sur le domaine. Représentants des intercommunalités ou de communes, vous y trouverez en particulier une « boîte à outils » pour vous aider à prendre en main ou développer la gestion de vos ponts et de vos murs de soutènement.",,https://www.expertises-territoires.fr/jcms/pl1_27447,,,,NULL,NULL,"Environnement infrastructures transports, Transports / Infrastructures, Gares et autres infrastructures ferrov., ""Gares, autres infrastructures routières""",
Expertises-Territoires,"BNTRA BUREAU DE NORMALISATION DES TRANSPORTS, DES ROUTES ET DE LEURS AMÉNAGEMENTS","Le Bureau de normalisation pour les transports, les routes et leurs aménagements (BNTRA) est le bureau sectoriel français qui couvre les domaines de la géotechnique, de la route et de ses équipements, des ouvrages d’arts ainsi que l’ingénierie du trafic au sein du Système Français de Normalisation. Le BNTRA fédère, par délégation de l’AFNOR les commissions de normalisation nationales qui élaborent les projets de normes françaises (NF), européennes (EN) et internationales (ISO) dans son champ de compétence. Il est hébergé par le Cerema, au sein de la Direction technique infrastructures de transport et matériaux (Cerema ITM). Le BNTRA a reçu un agrément par décision du délégué interministériel aux normes du 1er janvier 2024. Son projet : Avec l'appui de l'équipe permanente, les ingénieurs chefs de projets en normalisation du Cerema, experts dans leur domaine, se mobilisent auprès des professionnels de la Maîtrise d'ouvrage et de la Maîtrise d'oeuvre pour élaborer une normalisation adaptée à leurs besoins opérationnels en phase avec leurs enjeux de performance, de sécurité, de garantie et d'innovation et favoriser ainsi la réussite de leurs projets d’avenir de développement et d’aménagement du territoire, de décarbonation et d’adaptation au changement climatique.",,https://www.expertises-territoires.fr/jcms/pl1_28684,,,,NULL,NULL,"Environnement infrastructures transports, Transport sur route",
Expertises-Territoires,COMPENSATION CARBONE VOLONTAIRE TERRITORIALE,"Compensation carbone : quelles recommandations, quelles méthodes ? 4 webinaires pour les territoires porteurs d'une démarche de compensation. La compensation carbone est un mécanisme qui consiste à financer un projet qui évite ou séquestre des émissions de gaz à effet de serre lorsque les dispositifs de financement conventionnels ne suffisent pas pour engager le projet. Elle s'inscrit dans la stratégie de transition énergétique et climatique territoriale et vient compléter les actions de baisse des émissions de gaz à effet de serre sur le territoire. Quels sont les points d'attention, les bonnes pratiques à connaître et les méthodes pertinentes ? Voici les travaux (2021) du Cerema sur le sujet : https://www.cerema.fr/fr/actualites/fonds-carbone-locaux-compensation-carbone-territoriale Par ailleurs, pour vous aider dans vos projets, nous vous proposons une série de 4 webinaires, qui donnent la parole aux acteurs de la compensation carbone, apportent des témoignages et visent à mettre en relation les collectivités.",,https://www.expertises-territoires.fr/jcms/pl1_47550,,,,NULL,NULL,NULL,
Expertises-Territoires,INDICATEURS ET ÉVALUATION DES ECOQUARTIERS,"Dans le cadre du renouveau de la démarche nationale EcoQuartiers, il est important de « Garantir la performance en termes de développement durable des EcoQuartiers au regard des enjeux prioritaires du Gouvernement. » Cette transition vers une approche performancielle de la labellisation, sur la base d’une série d’une vingtaine d’indicateurs communs à tous les EcoQuartiers, vient compléter les modes d’évaluation actuels du label : autoévaluation par le candidat sur la base d’indicateurs qu’il s’est défini, expertise indépendante et décision de la commission nationale. La présente communauté a pour objectifs d'aider les porteurs de projets d'Ecoprojets et d'EcoQuartiers à mettre en place leur démarche d'évaluation et à s'approprier les indicateurs nationaux avec l'appui du Cerema.",,https://www.expertises-territoires.fr/jcms/pl1_94045,,,,NULL,Sobriété des bâtiments (résidentiel),Habitat (Logement),
Expertises-Territoires,STRATÉGIE COVOITURAGE RÉGULIER RÉGIONS ALPINES D'ARA,"Stratégie covoiturage régulier : lignes, plateformes, plan national et massification : nous comptons aujourd'hui plus de 23 plateformes de covoiturage régulier, ce qui est contre-productif car va à l'encontre du principe de massification de l'offre et de la demande, inhérent à une stratégie de covoiturage efficace. En parallèle, le fonds vert propose des soutiens financiers conséquents et cette année représente une période charnière pour lancer des projets de covoiturage complets, pertinents, efficaces et ambitieux, sur les territoires. Le covoitruage, par définition, dépasse les frontières administratives de nos collectivités. Nous avons donc besoin de nous concerter pour adopter une position commune et développer un projet réussi et pérenne.",,https://www.expertises-territoires.fr/jcms/pl1_95828,,,,NULL,NULL,NULL,
Expertises-Territoires,TITRE UNIQUE,"Face aux enjeux de décarbonation des mobilités et de report modal, le projet « titre unique » répond à une aspiration des usagers, clairement exprimée par la Convention Citoyenne pour le Climat en 2020[1]. Afin de concevoir le « titre de transport de demain », un Hackathon s’est tenu en février 2023. Deux solutions ont été sélectionnées comme lauréates. Les résultats du Hackathon ont été pris en compte comme point de départ du projet, dans le but de simplifier au maximum le parcours usager.",,https://www.expertises-territoires.fr/jcms/pl1_110399,,,,NULL,Transports en commun,Transports / Liaisons multimodales,
Expertises-Territoires,STANDARDS ET NORMES DE MOBILITÉ,"Bienvenue sur le portail de la standardisation des données de la mobilité. Vous êtes un opérateur de transport ? Un réutilisateur de données de mobilité ? Une start-up de la mobilité durable ? Une autorité organisatrice de la mobilité ? Un fournisseur de systèmes d'information pour les opérateurs ? Vous cherchez à vous insérer dans le marché de la Mobilité par association de services (MAS) ? À vous adapter aux évolutions réglementaires ? À rester informé des meilleures pratiques en termes de partage de données de mobilité ? Vous trouverez ici prochainement des informations et des services vous permettant de découvrir, utiliser et faire évoluer les standards et les normes qui s'appliquent en France pour encourager le développement de la mobilité durable dans le cadre des articles 25, 27 et 28 de la loi d'orientation des mobilités (LOM) de 2019.",,https://www.expertises-territoires.fr/jcms/pl1_125155,,,,NULL,NULL,NULL,
Expertises-Territoires,CONTRATS OPÉRATIONNELS DE MOBILITÉ - RÉGION SUD,Cet espace de travail est dédié à la co-construction des contrats opérationnels de mobilité.,,https://www.expertises-territoires.fr/jcms/pl1_226968,,,,NULL,NULL,NULL,
Expertises-Territoires,COMITÉ ÉNERGIE RÉGIONAL 971,"Bienvenue dans la communauté des référents énergie du Comité énergie régional 971. L'objectif de cette communauté est de mettre en oeuvre une démarche d'économies d'énergie au sein de votre parc immobilier. Cet espace de partage d'informations, de ressources et d'outils vient en complément des autres espaces de partage déjà existants tels que les communautés ""Challenge: Mobilsation"", ""Challende: Passage à l'action"", ""Concours CUBE Etat"", etc, en proposant des leviers d'actions contextualisés à notre territoire. En fonction des besoins qui vous aurez exprimé, des outils de travail seront proposés afin de faciliter vos actions dans le déploiement de la démarche de réduction de la consommation énergétique.",,https://www.expertises-territoires.fr/jcms/pl1_372214,,,,NULL,NULL,NULL,
Expertises-Territoires,SOLUTIONS FONDÉES SUR LA NATURE (SFN) POUR L'ADAPTATION - PAYS DE LA LOIRE,"Cet espace communautaire permet de rassembler les acteurs locaux du climat et de la biodiversité en Pays de la Loire. Il constitue un espace d'échanges, de partage et d'appui à la mise en œuvre de projets de de SfN pour l'adaptation, et contribue à diffuser et valoriser les ressources produites dans le cadre du Life ARTISAN. Vous avez également la possibilité de partager vos actualités en alimentant l'onglet ""veille"" ou l'onglet ""évènements""'.",,https://www.expertises-territoires.fr/jcms/pl1_441556,,,,NULL,NULL,NULL,
Observatoire National de la Biodiversité (ONB),"Consultez dans le domaine de la culture et de l'éducation les indicateurs de l’observatoire national de la biodiversité développe des indicateurs pour suivre l’état et l’évolution de la biodiversité en France, les grandes pressions qui s’exercent sur elles et les réponses apportées par la société.","Ces indicateurs font l’objet d’une évaluation scientifique indépendante et sont validés par un réseau qui regroupe organismes de recherche, établissements publics, ministères, parties prenantes civiles et professionnelles. Ils mobilisent de nombreuses sources de données en grande partie accessibles dans le cadre du Système d’information de la biodiversité.",,https://naturefrance.fr/indicateurs?f%5B0%5D=couverture_geographique%3A93&f%5B1%5D=politiques%3A226,,,,NULL,NULL,Culture,
Observatoire National de la Biodiversité (ONB),"Consultez, dans le domaine de l'économie et les entreprises, les indicateurs de l’observatoire national de la biodiversité développe des indicateurs pour suivre l’état et l’évolution de la biodiversité en France, les grandes pressions qui s’exercent sur elles et les réponses apportées par la société.","Ces indicateurs font l’objet d’une évaluation scientifique indépendante et sont validés par un réseau qui regroupe organismes de recherche, établissements publics, ministères, parties prenantes civiles et professionnelles. Ils mobilisent de nombreuses sources de données en grande partie accessibles dans le cadre du Système d’information de la biodiversité.",,https://naturefrance.fr/indicateurs?f%5B0%5D=politiques%3A226&f%5B1%5D=politiques%3A591,,,,NULL,NULL,"Interventions économiques transversales, Structure d'animation et de dév. éco., Action économique / Actions sectorielles, ""Industrie, commerce et artisanat""",
Observatoire National de la Biodiversité (ONB),"Consultez, dans le domaine de la gestion des espaces naturels, les indicateurs de l’observatoire national de la biodiversité développe des indicateurs pour suivre l’état et l’évolution de la biodiversité en France, les grandes pressions qui s’exercent sur elles et les réponses apportées par la société.","Ces indicateurs font l’objet d’une évaluation scientifique indépendante et sont validés par un réseau qui regroupe organismes de recherche, établissements publics, ministères, parties prenantes civiles et professionnelles. Ils mobilisent de nombreuses sources de données en grande partie accessibles dans le cadre du Système d’information de la biodiversité.",,https://naturefrance.fr/indicateurs?f%5B0%5D=politiques%3A226&f%5B1%5D=politiques%3A591&f%5B2%5D=politiques%3A593,,,,NULL,NULL,"Aménagement des territoires et habitat / Espace rural et autres espaces de dév., Espaces verts urbains",
Observatoire National de la Biodiversité (ONB),"L’Observatoire national de la biodiversité (ONB) fournit une évaluation scientifique, transparente et neutre, de l’état de la biodiversité de toute la France.",L’Observatoire national de la biodiversité(ONB) est un dispositif partenarial piloté et animé par l'Office français de la biodiversité. Il est l'un des services composant le système d'information sur la biodiversité.,https://naturefrance.fr/sites/default/files/2023-01/Logo_naturefrance.svg,https://naturefrance.fr/,,,,NULL,NULL,"""Préserv. patrim. naturel,risques techno""",
